0,0,0,[],"[6, 7]","[5, 5]",[3]
1,1,1,[4],[7],[5],[]
3,10,2,"[0, 5]","[4, 8]","[5, 5]","[6, 10]"
4,10,3,"[12, 9, 5, 20, 26, 32, 36]","[3, 9]","[5, 5]",[1]
5,5,2,"[3, 4]",[],[],"[3, 4]"
6,2,1,[3],[0],[5],[7]
7,5,1,[6],[],[],[8]
8,10,2,"[7, 14]",[3],[5],"[16, 14]"
9,3,1,[16],[4],[5],[4]
10,2,1,[3],[0],[5],[11]
11,5,2,[10],[],[],[13]
12,3,1,[15],[4],[5],[4]
13,10,3,"[11, 14]",[],[],[15]
14,5,2,"[8, 13]",[],[],"[8, 13]"
15,5,2,[13],[],[],[12]
16,5,2,[8],[],[],[9]
17,2,1,[3],[],[],[18]
18,5,1,[17],[],[],[22]
19,5,1,[22],[],[],[20]
20,3,1,[19],[],[],[4]
21,5,2,"[22, 13]",[],[],"[22, 13]"
22,10,2,"[18, 21, 27]",[],[],"[21, 27, 19]"
23,2,1,[3],[],[],[24]
24,5,1,[23],[],[],[28]
25,5,1,[28],[],[],[26]
26,3,1,[25],[],[],[4]
27,5,2,"[22, 28]",[],[],"[22, 28]"
28,10,2,"[24, 27, 33]",[],[],"[25, 27, 33]"
29,2,1,[3],[],[],[30]
30,5,1,[29],[],[],[34]
31,5,1,[34],[],[],[32]
32,3,1,[31],[],[],[4]
33,5,2,"[28, 34]",[],[],"[34, 28]"
34,10,2,"[30, 33]",[],[],"[33, 31]"
35,5,2,[34],[],[],[36]
36,3,2,[35],[],[],[4]
[-1]
